,Project Type,Reference Number,Project Name,Agency,Published Date,Procurement Category,Closed Date,Current Status,Qualification Criteria,Respondents,Awarded To,Awarded Value
33,Request for Information,SSG000ERF19300001,"EOI for Multi-Disciplinary Consultancy Services (including Architectural, Mechanical & Electrical Engineering and Quantity Surveying)",SkillsFuture Singapore,23 Aug 2019 10:50AM,Construction ⇒ Renovation Supplies & Services,05 Sep 2019 04:00PM,CLOSED,Not Applicable,No Respondents Despite Closed/Awarded,Not Applicable,Not Applicable
34,Tender,PUB000ETT19300191 / WSN-PW/33190191,Term Contract for Soil Investigation Works in The Eastern and Western Supply Zones,Public Utilities Board,23 Aug 2019 01:50AM,Construction ⇒ Soil Investigation & Stabilization,19 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
35,Tender,NEA000ETT19300064,Tender For Reinstatement Works At State Land,National Environment Agency,22 Aug 2019 05:35PM,Construction ⇒ Demolition,18 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
36,Quotation,SPC000ETQ19300066,"Design, Supply and Installation of an Innovation Gallery at Kallang Football Hub",Singapore Sports Council,22 Aug 2019 04:35PM,Construction ⇒ Interior Decoration,12 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
37,Quotation,DEFEPS3000035683,SUPPLY AND MODIFICATION OF SOLAR PANEL AND RACKING SYSTEM FOR MITSUBISHI FUSO TRUCK,Ministry of Defence 3,22 Aug 2019 12:00AM,Construction ⇒ Others,06 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
38,Quotation,NPB000ETQ19300112 / NPB000EAR19301200,INVITATION TO QUOTE FOR THE ACCREDITED CHECKER ORGANISATION (ACO) CONSULTANCY SERVICES,National Parks Board,21 Aug 2019 04:05PM,Construction ⇒ Civil Engineering,05 Sep 2019 01:00PM,AWARDED,Not Applicable,,,
39,Quotation,PUB000ETQ19300242 / 44190288,44190288/C&W/TOPOGRAPHICAL SURVEY AND PREPARATION OF PLANS FOR IMPROVEMENT TO MARINA EAST OUTLET DRAIN & WEST COAST OUTLET DRAIN NO. 6,Public Utilities Board,21 Aug 2019 02:05PM,Construction ⇒ Civil Engineering,03 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
40,Quotation,HOMPDEETQ19300045,PROVISION OF GEOTECHNICAL SERVICES TO RECTIFY SOIL EROSION,Ministry of Home Affairs-Prison Department,21 Aug 2019 11:20AM,Construction ⇒ Soil Investigation & Stabilization,13 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
41,Quotation,NAC000ETQ19300019,INVITATION TO QUOTE: DESIGN-AND-BUILD ARTS RESOURCE HUBS AT GOODMAN ARTS CENTRE & STAMFORD ARTS CENTRE,National Arts Council,21 Aug 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,03 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
42,Tender,PAS000ETT19300141 / PA-ITT-2019-0110,Proposed CMP Phase II and Minor Improvement Works to The Frontier Community Club,People's Association,20 Aug 2019 04:35PM,Construction ⇒ Renovation Supplies & Services,17 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
43,Quotation,HDB000ETQ19300235 / DPG-QN190049,Quotation for Proposed Conversion of Existing Rigid Pavement to Flexible Pavement to Building Works at Kallang Whampoa Contract 23B,Housing and Development Board,20 Aug 2019 03:05PM,Construction ⇒ General Building & Minor Construction Works,30 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
44,Quotation,MOESCHETQ19303849,"Concept Design and Creation of Makers Studio cum Display Area include furnishing, for Admiralty Primary School",Ministry of Education - Schools,20 Aug 2019 02:05PM,Construction ⇒ Renovation Supplies & Services,06 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
45,Quotation,MOESCHETQ19303859,"TO CONCEPTUALISE, DESIGN AND RENOVATE A STUDY CORNER WITH A CAFE-THEME",Ministry of Education - Schools,20 Aug 2019 10:20AM,Construction ⇒ Renovation Supplies & Services,30 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
46,Quotation,TRADOSETQ19300012,"INVITATION TO QUOTE FOR SUPPLY, DELIVERY, INSTALLATION AND MAINTENANCE OF CHILLED WATER AIR-CONDITIONING SYSTEM FOR LAN ROOM",Ministry of Trade & Industry-Department of Statistics,19 Aug 2019 12:05PM,Construction ⇒ Others,30 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
47,Quotation,RPO000ETQ19300135,Quotation for Retrofitting Work (Convert part of existing training restaurant into Barista zone) for SOH,Republic Polytechnic,19 Aug 2019 10:05AM,Construction ⇒ Renovation Supplies & Services,04 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
48,Tender,FOR000ETT19300047,Provision of Upgrading Works at the Official Residence of the Permanent Mission of Singapore to the UN in Geneva.,Ministry of Foreign Affairs,19 Aug 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,24 Sep 2019 04:00PM,CANCELLED,Not Applicable,,Not Applicable,Not Applicable
49,Quotation,HLTHQ0ETQ19300039 / MOH ITQ B16/19,"INVITATION TO QUOTE FOR TOPOGRAPHICAL, BOUNDARY AND CADASTRAL SURVEY SERVICES FOR THE PROPOSED CO-LOCATED DEVELOPMENT OF A POLYCLINIC AND NURSING HOME",Ministry of Health-Ministry Headquarter,19 Aug 2019 12:05AM,Construction ⇒ Others,02 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
50,Qualification,LTA000EPQ19300013 / 2PQ-CRL1 CR101,Tender cum Pre-Qualification for Cross Island Line Phase 1 (CRL1) Civil Contract CR101,Land Transport Authority,16 Aug 2019 05:50PM,Construction ⇒ Civil Engineering,10 Sep 2019 04:00PM,CLOSED,"Pre-qualification (PQ) for the Civil Contract was advertised in GeBIZ on 29 March 2019 and all applicants have been informed of their applications. Tender Documents will ONLY be issued to the pre-qualified tenderers on 16 August 2019 for Civil Contract CR101. Those who wish to be considered for the 2nd (final) PQ for the Civil Contract CR101 will need to submit their PQ applications electronically via GeBIZ as detailed in the PQ brochure. Interested applicants are required to submit previous and current records of similar work done, details of key staff with relevant experience in design and/or construction, equipment to be deployed, safety records and financial capacity for LTA's consideration. Applicants shall demonstrate that they have the necessary: (a) Technical expertise, project management capability and physical resources in the design and construction of similar works; and (b) Financial capacity to undertake and sustain a multi-million dollar project in Singapore.",,Not Applicable,Not Applicable
51,Tender,PUB000ETT19300186 / PUB000/WSN-PW/33190163,Repainting of PUB Installations (Water Supply Network) 2019,Public Utilities Board,16 Aug 2019 03:35PM,Construction ⇒ Repairs & Redecoration,19 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
52,Quotation,PUB000ETQ19300239 / 44190281,44190281/C&W/Hydrographic Survey for Marina East and West Coast Outlet Drains,Public Utilities Board,16 Aug 2019 02:20PM,Construction ⇒ Civil Engineering,29 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
53,Quotation,MOESCHETQ19303814,"Conceptualisation, Design, Construction and Installation of Heritage Gallery at the school foyer for West Spring Secondary School",Ministry of Education - Schools,16 Aug 2019 02:05PM,Construction ⇒ Renovation Supplies & Services,29 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
54,Quotation,HDB000ETQ19300231 / PLG-QN190035,QUOTATION FOR ADDITIONS AND ALTERATIONS WORKS AT ATRIUM ROOFTOP OF HDB HUB,Housing and Development Board,16 Aug 2019 12:50PM,Construction ⇒ General Building & Minor Construction Works,02 Sep 2019 01:00PM,AWARDED,Not Applicable,,,
55,Tender,HDB000ETT19300190 / HMG-TN190053,Improvement Works to Surface Car Parks (Batch 81),Housing and Development Board,16 Aug 2019 12:05PM,Construction ⇒ Civil Engineering,16 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
56,Quotation,NPO000ETQ19300215 / DEO/19/0008,(DEO/19/0008) Minor A&A work for IO/RMO Office at Blk 72 Level 6,Ngee Ann Polytechnic,16 Aug 2019 12:05AM,Construction ⇒ Repairs & Redecoration,26 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
57,Quotation,MOESCHETQ19303694,Improvement works for Teaching Lab and Innovation Hub - River Valley Primary School,Ministry of Education - Schools,16 Aug 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,04 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
58,Quotation,NLB000ETQ19300068,"Invitation to Quote for Minor Works for a public library of the National Library Board, Singapore",National Library Board,14 Aug 2019 05:35PM,Construction ⇒ Renovation Supplies & Services,23 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
59,Tender,BCA000ETT19300027 / BCA T-729/2019,ESTATE UPGRADING PROGRAMME (EUP) BATCH 8 FOR BARTLEY NEIGHBOURHOOD ESTATE (PHASE 2),Building and Construction Authority,14 Aug 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,03 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
60,Quotation,MOESCHETQ19303740 / GM19/2019,Geylang Methodist School (Secondary) - Design & Renovation Works for Canteen 2019,Ministry of Education - Schools,14 Aug 2019 12:05AM,Construction ⇒ Renovation Supplies & Services,02 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
61,Quotation,HLTHQ0ETQ19300038 / MOH ITQ B17/19,"Invitation to Quote for Underground Services Detection Works for the Proposed Development of a Polyclinic at Yishun Ave 2/Yishun Ring Road, Singapore",Ministry of Health-Ministry Headquarter,14 Aug 2019 12:05AM,Construction ⇒ Others,26 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
62,Tender,JTC000ETT19300119 / JTC19T0076,Nominated Subcontract for Interior Decorative Works to High Rise Multi-User Industrial Complex at Kim Chuan Road (Defu South),Jurong Town Corporation,13 Aug 2019 05:20PM,Construction ⇒ Interior Decoration,02 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
63,Tender,PAS000ETT19300136 / PA-ITT-2019-0114,PROPOSED CYCLICAL MAINTENANCE PROGRAMME (CMP) TO ALJUNIED COMMUNITY CENTRE AT BLK 110 & BLK 112 HOUGANG AVE 1 SINGAPORE 530110,People's Association,13 Aug 2019 03:50PM,Construction ⇒ General Building & Minor Construction Works,10 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
64,Tender,BCA000ETT19300028 / BCA T-727/2019,"Minor Renovation Works at BCA HQ @ JEM Office Level 10 Pantry for Realignment of Glass Partition, Downsize Pantry and Creation of New Room",Building and Construction Authority,13 Aug 2019 12:05AM,Construction ⇒ Renovation Supplies & Services,05 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
65,Quotation,MOESCHETQ19303610,"Propose Concept, Design and Refurbishment of the General Office Pantry in Evergreen Primary School.",Ministry of Education - Schools,08 Aug 2019 11:50AM,Construction ⇒ Renovation Supplies & Services,27 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
66,Tender,PAS000ETT19300135 / PA-ITT-2019-0112,"Proposed Cyclical Maintenance Programme (CMP) To Toa Payoh East Community Club at 160 Lorong 6 Toa Payoh, Singapore 319380",People's Association,08 Aug 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,30 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
67,Quotation,SPO000ETQ19300296 / RO19/MAE/0057,"RO19/MAE/0057 Design,supply and fabricate and install a complete office fit-out.",Singapore Polytechnic,07 Aug 2019 03:50PM,Construction ⇒ Renovation Supplies & Services,23 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
68,Quotation,DST000ETQ19300074 / Email,RE-SCREED MSCP DRIVEWAY BEFORE AND AFTER THE RAMP in DIC,Defence Science and Technology Agency,07 Aug 2019 03:35PM,Construction ⇒ Asphalt Works & Road Marking,22 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
69,Tender,HDB000ETT19300189 / DPG-TN190087,(A) Design & Build of Upgrading Projects for G28G; (B) Contingency Works,Housing and Development Board,07 Aug 2019 03:20PM,Construction ⇒ General Building & Minor Construction Works,13 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
70,Quotation,MOESCHETQ19303584,ITQ - Proposed Design of room & Built-in storage in Band Room of Commonwealth Sec Sch,Ministry of Education - Schools,07 Aug 2019 02:50PM,Construction ⇒ Interior Decoration,23 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
71,Tender,RPO000ETT19300034,Proposed Additional and Alteration Interior Fit-Out Works to Meeting Rooms at RPC Level One for OES,Republic Polytechnic,07 Aug 2019 10:50AM,Construction ⇒ Interior Decoration,02 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
72,Tender,BCA000ETT19300026 / BCA T-728/2019,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 9 AT UPPER CHANGI (TOH) ESTATE,Building and Construction Authority,07 Aug 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,13 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
73,Tender,SPO000ETT19300066 / SP/ED/19012/GBC,RO19/ED/0106 Proposed renovation to MAD teaching & learning spaces at Teaching Blocks 19 & 22 (T19 & T22) Level & Level 4 at Singapore Polytechnic,Singapore Polytechnic,07 Aug 2019 12:05AM,Construction ⇒ Renovation Supplies & Services,05 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
74,Quotation,MOESCHETQ19303645,"CONCEPTUALISATION, DESIGN AND INSTALLATION OF DESIGN WORKS FOR AUDITORIUM, GEYLANG METHODIST SCHOOL (PRIMARY)",Ministry of Education - Schools,06 Aug 2019 04:20PM,Construction ⇒ Renovation Supplies & Services,28 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
75,Quotation,MOESCHETQ19303613,"Redesigning and refurbishing of Staff pantry, Learning and Behavioural Support room an refurbishing of the counselling room",Ministry of Education - Schools,06 Aug 2019 02:20PM,Construction ⇒ Renovation Supplies & Services,21 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
76,Quotation,NEA000ETQ19300118 / TIP/G/04/19,Refurbishment of Ceiling at Tuas Incineration Plant,National Environment Agency,06 Aug 2019 10:50AM,Construction ⇒ Repairs & Redecoration,21 Aug 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
77,Tender,NPO000ETT19300031 / NP/DEO/16C/19,"(Tender Ref: NP/DEO/16C/19, GRF No.: DEO/19/0007) Renovation of Ngee Ann Polytechnic Convention Centre (NPCC Basement, Study Area)",Ngee Ann Polytechnic,06 Aug 2019 10:05AM,Construction ⇒ Renovation Supplies & Services,02 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
78,Tender,NHB000ETT19300020 / NHB_TEN/19/2019,INVITATION TO TENDER FOR THE RENOVATION WORKS TO NHB'S OFFICE IN STAMFORD COURT,National Heritage Board,05 Aug 2019 07:05PM,Construction ⇒ Renovation Supplies & Services,29 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
79,Tender,HDB000ETT19300187 / BIG-TN190041,Supply of Ordinary Portland Cement to the HDB (Batch 39),Housing and Development Board,05 Aug 2019 12:20PM,Construction ⇒ Others,30 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
80,Tender,LTA000ETT19300131 / DE157,Term Contract for Trial Trenches,Land Transport Authority,02 Aug 2019 02:20PM,Construction ⇒ Civil Engineering,02 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
81,Quotation,HDB000ETQ19300224 / BRI-QN190022,SUPPLY AND REPLACEMENT OF WELDED MESH PERIMETER FENCE AT HDB CENTRE OF BUILDING RESEARCH (CBR),Housing and Development Board,02 Aug 2019 12:20PM,Construction ⇒ Fencing & Ironworks,28 Aug 2019 01:00PM,AWARDED,Not Applicable,,,
